Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
3,3/1/2024,Game,Training mode doesn't give enough cards to play a full game,Game needs to provide enough cards to keep gaming going,Training mode gives only 2 cards for player and AI resulting in inability to continue game,yes,yes,Jaztin Tabunda
7,3/1/2024,UI,"When trying to add a friend, no text box appears so you can't search for a username",Search bar should appear to find friend,Blank Brown Text box,yes,yes,Jaztin Tabunda
8,3/1/2024,UI,Exiting friend menu crashes game,Return to Main screen,Blurry uninteractable Main Screen,yes,yes,Jaztin Tabunda
9,3/1/2024,Game,Activating Trap card crashes game,My trap card should be activated and should damage opponent,Freezes timer and game,no,yes,Jaztin Tabunda
1,3/11/2024,UI,Back Button doesn't work on Adventure Select Screen,Return to Main menu or to previous menu,Doesn't do anything,yes,yes,Jaztin Tabunda
2,3/11/2024,UI,Home Button doesn't work on Adventure Select Screen,Return to Main menu,Doesn't do anything,yes,yes,Jaztin Tabunda
5,3/11/2024,UI,Play Button on Adventure Select Screen doesn't work,Should get me into a game,Doesn't do anything,yes,yes,Jaztin Tabunda
9,3/11/2024,Game,Battles sometimes don't load in Arena,Load into AI Battle in Arena,Stuck in Battle but no cards load,yes,yes,Jaztin Tabunda
6,3/18/2024,Game,AI doesn't attack if I never place any cards down,AI should attack me even if I remain AFK,Game doesn't switch to my turn and the AI doesn't attack me,yes,yes,Jaztin Tabunda
8,3/18/2024,Game,User case: Really should add an AFK timer,I should automatically lose and be kicked from the match,I can waste other players' time by never setting down any cards,yes,yes,Jaztin Tabunda
2,3/19/2024,Adventure Select Screen,User clicked on the Adventures button from the main menu options.,User is able to click on the icons and buttons present on the screen.,Nothing happens when user clicks on the Back button to return to the main menu.,Yes,Yes,Yana Zaynullina
3,3/19/2024,Adventure Select Screen,"User clicked on the Adventures button from the main menu options. Once there, user clicks on one of the level selection bubbles on the map to start the adventure. It opens another sliding screen from the right.",User is able to click on the icons and buttons present on the screen.,Nothing happens when user clicks on the Play button to start the adventure.,Yes,Yes,Yana Zaynullina
1,3/20/2024,Adventure Mode,Bug Case: Cannot leave screen and clicks do not register,"Be able to play adventure mode or if not ready, be able to back out",User is stuck in the adventure mode screen and has to close the game to get out of Adventure Mode,Yes,Yes,Inderjit Singh
1,3/16/2024,Arena match,Bug: says match but timer is stucknothing happens,Match startes,The arena page comes up but the timer is stuck,Yes,Yes,Mimi Truong
2,3/16/2024,Adventure select,Bug: Play button doesn’t work,start the advencture,nothing happens,Yes,yes,Mimi Truong
3,3/16/2024,Adventure select,Bug: back button doesn’t work,Back button goes back to home page,nothing happens now I have to refresh and authenticate everything all over again :(,Yes,Yes,Mimi Truong
4,3/16/2024,Arena match,bug: Timer froze at 66,timer continues till player is done with turn,timer froze and now cant do anything,Yes,Yes,Mimi Truong
2,3/20/2024,login,can’t login,window closed to authenticate,window close then didn’t log in,yes,yes,Omar Monge
3,3/20/2024,login,not connecting to server,connection to server,not connected to server,yes,yes,Omar Monge
4,3/19/2024,Accessing the game,Bug,"I expect that when I click on ""Arena"" I can start playing the game.","When I click ""Arena"" there is a dim screen displayed that does not display any additional ""features"" of the game.",Yes,Yes,Mirna Farahat
5,3/19/2024,Trying to play the game,Bug,I expect that the game functions flawlessly without any glitches,"When I clicked on ""Arena"" there was a sudden glitch that showed the AI player repeatedly putting down the same card in the same spot",No,Yes,Mirna Farahat
4,3/18/2024,Adventure Select,Home icon on top right does nothing,To go back to main menu,Nothing happened,Yes,Yes,Artim Trofimenko
0,3/19/2024,Gameplay Tutorial,"Bug: After clicking the cards when it was not my turn, a black overlay appeared and did not close so I was unable to click the draw card button",I expected the draw button to be clickable when I was required to click it,A black overlay appeared after clicking on cards and their options when it was not my turn and I was unable to click the draw button to progress the tutorial,Yes,Yes,Katrina Ortiz
1,3/19/2024,Deck Builder Tutorial,"Bug: If you click on NFTs section and then attempt to complete the task where you need to add 20 Guardians to the deck but don't have enough cards, you cannot exit out to pick the other section ""Free to Use"" to be able to add more cards","I expected to be able to exit out of the NFTs section to navigate to the ""Free to Use"" section to add more cards","Since there were not enough cards in the NFTs section of the Deck Builder Tutorial when adding cards to my deck, I was unable to exit and navigate to the ""Free to Use"" section and progress the tutorial",Yes,Yes,Katrina Ortiz
2,3/19/2024,Deck Builder Tutorial,Bug: There is no way to exit the Deck Builder Tutorial,I expected there to be a way to exit the Deck Builder Tutorial like there is for the Gameplay Tutorial,There is no way to exit the Deck Builder Tutorial and a refresh is required to get out,Yes,Yes,Katrina Ortiz
2,3/13/2024,Gameplay,Switched to another tab during gameplay,Returning to tab would continue the game,"Game went back to log in page, then logging in crashed and endless loading",yes,yes,Anastasia Naydina
3,3/13/2024,Adventure Select,Clicked on Adventure Menu,To be able to return from adventure menu to main menu,"Inescapable, buttons do not go back to main menu",yes,yes,Anastasia Naydina
0,3/17/2024,Game/Main Page,The buttons do not respond in adventure select.,Clicking a button should perform the indicated task.,Clicking on a button does not result in any action.,Yes,Yes,Raymond Gharapeti Babayans
1,3/18/2024,Game/Main Page,"Unable to add a card in a previously created deck in deck builder, after removing it.",The selected card should be added to the deck.,Clicking on the card does not place it in the deck.,Yes,Yes,Raymond Gharapeti Babayans
0,3/19/2024,Login,"Login page stuck at ""Login in with email"" when you close the tab that opens up after pressing login with email",Give the user a choice to use Wallet Login or Email Login,"Stuck on login page saying ""Login with email""",yes,yes,Elijah Ko
3,3/19/2024,UI,Pressing the back arrow in adventure does not do anything,Going back to main page,Nothing happens,yes,yes,Elijah Ko
4,3/19/2024,UI,Pressing the home icon in adventure does not do anything,Going back to main page,Nothing happens,yes,yes,Elijah Ko
2,3/18/2024,UI,Bug: Adventure mode,Play adventure mode,Still does not atleast let you leave the mode to go back to main menu even though it does not work currently,Yes,Yes,Ramon
2,3/18/2024,UI,Bug: Adventure mode,Play adventure mode,Still does not atleast let you leave the mode to go back to main menu even though it does not work currently,Yes,Yes,Kevin Chaja
1,3/19/2024,main page,bug: Still cannot exit adventure screen,exit adventure screen,stuck in screen until reload of page,yes,yes,Michael Green
1,3/19/2024,Game,bug: I got disconnected from the servers,Play the game,Got disconected in the middle of the game,no,Yes,Jorge Torrez
2,3/19/2024,Main Page,bug: I just clicked adventure and its not letting me play and do anything,Play adventure,It locked me in the adventure map,yes,yes,Jorge Torrez
3,3/19/2024,Login,"bug: I couldnt acces the game, it kept asking for authentification",Access the game,Not able to login,yes,yes,Jorge Torrez
4,3/06/2024,game,playing tutorial,"when clicking off the browser page and returning, I should be able to pick up where I left off","when playing the tutorial and switching from my browser to another window and then returning, I am put back to the login page and cannot continue the tutorial",no,yes,shelby gallegos
2,3/19/2024,Login/UI/Game/Tutorials,Bug: Search feature doesn't function properly in tutorial,"When I go to the search bar in the tutorial, I was expecting the search to filter out the results by the one I am looking for","When I searched a tutorial, It didn't return any filtered results and the screen just remained the same as it did when I arrived at the screen.",Yes,Yes,Omar Garcia
3,3/19/2024,Login/UI/Game,Bug: The delete (x) button doesn't work anywhere,"When I type something in the search bar for tutorial or to find friends, I expect that when I hit the delete (x) button,it would clear my entry in the search bar","When I actually press the delete (x) button, it does not anything.",Yes,Yes,Omar Garcia
1,3/19/2024,Game,"Bug: Adventure mode does not seem to be working, can enter the UI but once loaded, nothing works",Start a battle,UI buttons not working,Yes,Yes,Ryan Kao
2,3/19/2024,Login,"user case: Having complications with signing in, had very long loading",Verification process succeeds,Be able to load into game,no,Yes,Ryan Kao
3,3/19/2024,Game,User case: Game would freeze midway and would have to refresh browser,Battle opponent,Froze requiring a restart,no,Yes,Ryan Kao
1,3/18/2024,Adventure,clicking on the adventure to play the adventure mode,play through the adventure as intended,brings me to the adventure page but no buttons works,yes,yes,Victor
1,3/19/2024,Game,"bug: At about 10 cards left game got stuck, can not continue",End turn and proceed with the game,Timer not working and cannot end my turn to proceed,yes,yes,Jonathan Alcantar
2,3/19/2024,Game,"bug: After playing a game, and stating a new one, I cannot make any moves",Be able to make moves like draw a card or make an attack,The timer goes on but cannot make any moves,yes,yes,Jonathan Alcantar
3,3/19/2024,Adventure Game,Going to adventure to play 1-1 for The Kingdom,"Start the game, use 3 Energy",Button gives visual indicator that its being clicked but nothing changes,yes,yes,Armen Levonyan
2,3/13/2024,Adventure Mode UI,Click on adventure to enjoy some game content,Allows me to play the levels listed,Leads me into a blocker state where I have to refresh my game.,yes,yes,Herbert Alvarenga
3,3/13/2024,In game,Going from Attack phase to end turn.,Swaps to opponent's turn,"I attacked with my guardians, then procededed to skip my main phase #2 by clicking end turn. My game enter a blocker state where I once again received a loss due to a blocker bug",no,yes,Herbert Alvarenga
3,3/17/2024,Game,Game mode adventure,"Upon clicking play, adventure was supposed to start",it did not start,yes,yes,Eduard Hovhannisyan
1,3/19/2024,UI,"bug: adventure -> home, deck builder, back",the buttons to work correctly,"the buttons does not work, and I have to close the window and restart again",yes,yes,Yashira Almanza
2,3/19/2024,main page,bug: tutorials -> complete-> pop-up,"check the ""complete the tasks"" box and continue","the box does not check, and does not let me move on",yes,yes,Yashira Almanza
2,3/19/2024,Login/Adventure,Home button does not work,Return to the main menu,Nothing happens,yes,Yes,Jorge Enriquez
3,3/19/2024,Login/News,User Case: clicking latest news or latest update does nothing,Open up a tab with past news or patch updates,Nothing happens,Yes,Yes,Jorge Enriquez
1,3/08/2024,Login,Bug: Does not log in with email.,To enter the game.,Stuck in “Login with email..”,Yes,Yes,Angel Venegas
2,3/08/2024,Game,Bug: Adventure Mode not working.,Expected to play a match.,Could not play a match.,Yes,Yes,Angel Venegas
2,3/13/2024,Main Page,bug: Unable to play any levels in Adventure tab,Levels 1-1 through 1-10 will be playable when I click on them,None of the levels are playable,yes,yes,Tum Jomkhanthiphol
3,3/13/2024,Main Page,bug: Cannot leave Adventure Select screen,"Clicking the back button, home button, or deck builder will take me out of the Adventure Select screen",None of the buttons take me out of the Adventure Select screen,yes,yes,Tum Jomkhanthiphol
1,3/17/2024,Adventure Page,The UI on the Adventure page doesn't work,For at least the home button to return to home page,None of the bottons function except for selecting a game on the map,yes,yes,Christina Mourad
2,3/17/2024,First Tutorial,Card Glitches and doesn't activate,For the card to activate when I click on activate,Card doesn't activate at all but allows for user to place it instead,yes,yes,Christina Mourad
1,3/19/2024,Tutorial,Tutorial Does Not Load,Tutorial to pop up,Went to black screen and froze,Yes,Yes,Anthony Daulo
3,3/18/2024,Game,bug: voice line after match victory gets played three times with overlapping audio,voice line after match win should only play once,voice line after match win played three times with overlapping audio,no,yes,Justin Reyes
4,3/18/2024,Game,bug: game sent me back to log in mid battle,game should not kick me to log in while battling,got kicked to log in while battling,no,yes,Justin Reyes
2,3/19/2024,Arena page,"bug: After clicking arena, I can't go back to main page by clicking the back arrow",I expected to go back the main page,I am stuck on the arena page,yes,yes,Mansoor Amza
3,3/19/2024,Arena page,bug: I can't go to the home page after clicking the home button,I expected to go back to the home page after clicking the home button,I am stuck in the arena page,yes,yes,Mansoor Amza
2,3/18/2024,Game,When attempting to play a match it sometimes freezes as if no oppenent was found,I expect there to be some way to back out of match making or some notice that some match making error has occured,I am just stuck in a dimmed screen with no way out,No,yes,Christopher Poveda
1,3/05/2024,Game,Bug: Game boots me back to main menu during tutorial,Game plays normally,Logged out of game to main menu,No,Yes,Grigor Azakian
2,3/05/2024,Game,User: Latency indicator blocking GUI elements,Latency indicator owns its own spot on the page,Latency indicator covering GUI elements,Yes,Yes,Grigor Azakian
3,3/05/2024,Login,Bug: Game times out and logs me out within one minute,Logout timer lasts for a longer period of time,Logout timer logs me out very quickly,Yes,Yes,Grigor Azakian
2,3/19/2024,Game,Bug: Frozen turn,Game continues turn cycles normally,Attempting to activate card lead to game being softlocked; timer for opponent was stuck at 72 seconds,no,yes,Paige Watanabe
1,3/17/2024,Login,bug: game uses too much memory to open,game opens,error that I don’t have enough memory to open page after bar gets to 90%,yes,yes,Rahi Misra
2,3/18/2024,Login,bug: game uses too much memory to open,game opens,error that I don’t have enough memory to open page after bar gets to 90%,yes,yes,Rahi Misra
3,3/19/2024,Login,bug: game uses too much memory to open,game opens,error that I don’t have enough memory to open page after bar gets to 90%,yes,yes,Rahi Misra
1,3/19/2024,Landpage,Buttons aren't responsive when exiting friend screen,buttons to respond,buttons don't respond,yes,yes,Jean Hanna
2,3/19/2024,Game audio settings,Master/Music Volume and Sound FX sliders don't change anything,to change volume,doesn't change volume,yes,yes,Jean Hanna
0,2/27/2024,Main Page,"Click add friend icon, then press back icon to return to main page",Be returned to main page once friend added,"Upon pressing the back icon to return to main page, the game would freeze and would have to log in again.",Yes,Yes,Andrew Gabriel
1,2/27/2024,Game,Playing tutorial,Instruct us how to play as a beginner,Got kicked out the game mid tutorial,Yes,Yes,Andrew Gabriel
3,3/05/2024,Game,Playing in arena,Play with other opponent in arena,In the middle of the game was sent back to the login page,Yes,Yes,Andrew Gabriel
4,3/05/2024,Main Page,"Click on either arena, adventure, tutorials, nft shops, settings",register on click,"The game would not register that I'm pressing one of the options. Once it finally registered for arena button would not let me click ""cancel""",Yes,Yes,Andrew Gabriel
9,3/18/2024,Main Page,Click on Adventure and exit out of it,Be able to click on adventure and then exit out by pressing the back button or home button,None of the buttons registered had to refresh the game and sign in again,Yes,Yes,Andrew Gabriel
3,3/14/2024,Deck Builder Tutorial,"When in the deck builder tutorial, when you are asked to have 20 red cards, the game may log you out completely",Finish the deck builder tutorial with no issues,Logged out and sent back to the login screen,yes,yes,Bryan Avila
1,3/19/2024,Game,"Able to exit the deck building tutorial, got softlocked",Cannot exit the tutorial,Exited the tutorial with the prompts active,yes,yes,Dawson Ford
1,3/13/2024,UI,bug: The back arrow on the Adventure tab doesn't do anything trapping you on the Adventure screen.,Clicking the back arrow goes back to the main menu.,Clicking the back arrow does nothing.,yes,yes,Connor Beaudoin
4,3/13/2024,UI,"bug: You can skip the ""Name Your Deck"" step of the deck builder tutorial, but the deck won't save without a name, so the NPC moves onto the next dialogue and you are unable to continue.",The tutorial does not continue until a valid deck name is entered.,The tutorial continues even with an invalid deck name locking the player in.,yes,yes,Connor Beaudoin
1,3/19/2024,Game,Bug: Infinite empty wait loop upon entering arena and connecting to an opponent.,Jump into battle vs. opponent upon clicking “Arena”.,"Unable to get to the actual battle phase, suck in first loading phase without any elements on the screen.",No,Yes,Svarun Soda
0,3/19/2024,5HeadGames/Login/EndersGate/Login,Ex user case: game did not log me in,Game launches properly after logging in from the 5 Head Games Launcher,"Receive the following error in a popup box : “screen.orientation.lock is not a function. (In ‘screen.orientation.lock(type)', 'screen.orientation.lock' is undefined)”",Yes,Yes,Narek Karapetyan
1,3/13/2024,Adventure/Home (house figure),Click to go back to the main page and nothing happen,Go back to the main page,Nothing happen,Yes,Yes,Sayra Reyes
2,3/13/2024,Home Page/Adventure/Deck Builder,Click on deck builder but nothing happen,Go to the Deck Builder,Same nothing happen,Yes,Yes,Sayra Reyes
3,3/14/2024,Home Page/Edit Profile/Player Frame,When I click on player frame nothing happen,To appear a player frame,Nothing happen,Yes,Yes,Sayra Reyes
4,3/14/2024,Home Page/Edit Profile/Player Title,When I click on player title nothing happen,To show the player title,"Same thing, nothing happen",Yes,Yes,Sayra Reyes
5,3/14/2024,Home Page/Edit Profile/Player Banner,Click on player banner and nothing happen,Show player banner (I don’t know what is that),Nothing happen,Yes,Yes,Sayra Reyes
4,3/12/2024,Game,Game,The timer should count down duing the oppenets turn,The timer stuck at 63 during turn 8 main 1,Yes,Yes,Jainivash Korisal
2,3/17/2024,Login,Bug: Gives this error after OAth: TypeError: screen.orientation.lock is not a function,Begin gamplay,Error message,Yes,Yes,Mohammad Asim Sheikh
3,3/17/2024,Game,User case: Reached Max capacity,Begin gameplay,"Users maxed out, tried again 10 minutes later, but same result.",Yes,Yes,Mohammad Asim Sheikh
1,3/17/2024,Main Page,"Game will still
 not let user return
 to home page if
 clicking on adventure
 tab","Game allows
 user to return to
 home page","Game forces
 you to stay on
 adventure page",Yes,Yes,Joey Kaz
3,3/17/2024,Game,"Timer for my player 
 froze and showed to
 be active for enemy AI
 even though it was my
 turn","Game would continue
 as intended","Timer froze, could
 not play game",No,Yes,Joey Kaz
1,3/17/2024,Email Login,user case: log me out after closing the page,Login,Login again back to back,yes,yes,Moises Alvarez
2,3/17/2024,Login Queue,user case: heavy volume of players,Login & play,Max capacity of players,yes,yes,Moises Alvarez
3,3/17/2024,Login Queue,user case: please try again in 10 minutes,Login & play,"again unable to play, max players",yes,yes,Moises Alvarez
4,3/17/2024,Login Authentication,user case: please wait message tool too long,Login,the page froze,yes,yes,Moises Alvarez
2,3/17/2024,Login,When logging back later in the day there was bandwith issues,to login into the game,"a queue of 10 mins but was 
 actually longer",yes,yes,Josue Ambrosio
2,3/16/2024,Starting of Tutorial,Stuck on one of the steps in the deck builder tutorial.,To move on to the next step.,Got stuck in that step.Had to login again.,yes,yes,Shiva Ramezani
3,3/16/2024,Matmaking,Matchmaking process for Arena took too long.,To make a match fast.,It kept loading.,no,yes,Shiva Ramezani
1,3/17/2024,Login,trying to login to email play,let me login,stuck at authenticating… please wait…,yes,Yes,Joshua alvarado
2,3/17/2024,Login,Login queue,login and let me play the game,login queue please try again 10 mintues,Yes,Yes,Joshua alvarado
3,3/17/2024,UI,In the online players. when trying to add a friend. I see a bunch of players to add but they dont have a name or address. It is just in ID format. which makes it hard to tell which player it is.,Expected to see players with names.,Saw a bunch of players with no name or address. Just a random ID,yes,yes,Salman Khan
1,3/17/2024,Game,bug : game froze when other player activated a card on my turn,card activates and I continue my turn,text box pop up saying player activated card so wait till their done but it never finished,yes,Yes,Tommy Tran
2,3/17/2024,Login,user case: having to login everytime the page is closed or refreshed,stay logged in,logs out,yes,yes,Tommy Tran
3,3/17/2024,Main Page,bug: adventure tab cannot return to home screen,back arrow or home button takes you back home,nothing happens when clicking on those buttons,yes,yes,Tommy Tran
2,3/13/2024,Game,Tutorial phase select during first instruction from Luna leads to blocker,The user should be able to hire a guardian or exit the phase select to proceed with the tutorial,Selecting the phase change before Luna's instruction potentially blocks the player from doing anything,yes,yes,Bao Ngo
1,3/17/2024,Game,Bug: Adventure Mode Doesn't work,Able to play 1-1 of adventure mode,"None of the redirection buttons worked, so I could not play 1-1 nor exit the adventure mode screen",yes,yes,Haylee Allen
1,3/08/2024,Login,Can't log in due to full servers,Log in successfully,Not able to log in,yes,yes,Rishabh Chadha
2,3/08/2024,Deck Builder Tutorial,Can't leave the tutorial after starting it,An option to leave tutorial at any time,No option to leave tutorial,yes,yes,Rishabh Chadha
5,3/08/2024,Adventure,Back button to exit Adventure Select doesn’t work,Back button leads to main menu,Back button does nothing,yes,yes,Rishabh Chadha
4,3/12/2024,Adventure Mode,Bug Case: Cannot leave screen and clicks do not register,"Be able to play adventure mode or if not ready, be able to back out",User is stuck in the adventure mode screen and has to close the game to get out of Adventure Mode,Yes,Yes,Inderjit Singh
2,3/13/2024,login,can’t login,window closed to authenticate,window close then didn’t log in,yes,yes,Omar Monge
